"","CTRY","YEAR","CIRI","COW","POLITY","UNCTRY","UNREG","UNSUBREG","PHYSINT","DISAP","KILL","POLPRIS","TORT","OLD_EMPINX","NEW_EMPINX","ASSN","FORMOV","DOMMOV","OLD_MOVE","SPEECH","ELECSD","OLD_RELFRE","NEW_RELFRE","WORKER","WECON","WOPOL","WOSOC","INJUD","ccode"
"1","Afghanistan",1981,101,700,700,4,142,62,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,700
"2","Afghanistan",1982,101,700,700,4,142,62,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,700
"3","Afghanistan",1983,101,700,700,4,142,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,700
"4","Afghanistan",1984,101,700,700,4,142,62,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,700
"5","Afghanistan",1985,101,700,700,4,142,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,700
"6","Afghanistan",1986,101,700,700,4,142,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,700
"7","Afghanistan",1987,101,700,700,4,142,62,0,0,0,0,0,1,3,0,0,0,0,0,1,0,2,0,0,1,0,0,700
"8","Afghanistan",1988,101,700,700,4,142,62,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,1,0,0,700
"9","Afghanistan",1989,101,700,700,4,142,62,0,0,0,0,0,2,3,0,1,0,0,0,0,1,2,0,0,1,0,0,700
"10","Afghanistan",1990,101,700,700,4,142,62,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,700
"11","Afghanistan",1991,101,700,700,4,142,62,1,0,0,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,700
"12","Afghanistan",1992,101,700,700,4,142,62,NA,-77,-77,-77,-77,NA,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,700
"13","Afghanistan",1993,101,700,700,4,142,62,NA,-77,-77,-77,-77,NA,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,700
"14","Afghanistan",1994,101,700,700,4,142,62,NA,-77,-77,-77,-77,NA,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,700
"15","Afghanistan",1995,101,700,700,4,142,62,NA,-77,-77,-77,-77,NA,NA,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,700
"16","Afghanistan",1996,101,700,700,4,142,62,0,0,0,0,0,3,3,0,1,1,1,1,0,0,0,0,0,0,0,0,700
"17","Afghanistan",1997,101,700,700,4,142,62,0,0,0,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,700
"18","Afghanistan",1998,101,700,700,4,142,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
"19","Afghanistan",1999,101,700,700,4,142,62,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,700
"20","Afghanistan",2000,101,700,700,4,142,62,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,700
"21","Afghanistan",2001,101,700,700,4,142,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
"22","Afghanistan",2002,101,700,700,4,142,62,3,1,1,0,1,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,700
"23","Afghanistan",2003,101,700,700,4,142,62,NA,-66,-66,-66,-66,NA,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,700
"24","Afghanistan",2004,101,700,700,4,142,62,NA,-66,-66,-66,-66,NA,NA,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,700
"25","Afghanistan",2005,101,700,700,4,142,62,4,2,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,2,NA,0,700
"26","Afghanistan",2006,101,700,700,4,142,62,4,2,1,1,0,1,3,1,1,0,0,0,1,0,0,0,0,2,NA,0,700
"27","Afghanistan",2007,101,700,700,4,142,62,4,2,1,1,0,NA,4,1,1,1,NA,0,1,NA,0,0,0,3,1,0,700
"28","Afghanistan",2008,101,700,700,4,142,62,3,2,0,1,0,NA,3,1,1,1,NA,0,0,NA,0,0,0,2,NA,0,700
"29","Afghanistan",2009,101,700,700,4,142,62,4,2,1,1,0,NA,1,0,0,0,NA,0,1,NA,0,0,0,2,NA,0,700
"30","Afghanistan",2010,101,700,700,4,142,62,3,2,0,1,0,NA,2,1,0,0,NA,0,1,NA,0,0,0,2,NA,0,700
"31","Afghanistan",2011,101,700,700,4,142,62,4,2,0,2,0,NA,4,1,0,0,NA,1,1,NA,0,1,0,2,NA,0,700
"32","Albania",1981,104,339,339,8,150,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,339
"33","Albania",1982,104,339,339,8,150,39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,339
"34","Albania",1983,104,339,339,8,150,39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,339
"35","Albania",1984,104,339,339,8,150,39,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,1,0,339
