"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
2005,11,22,2,1700,1700,1803,1800,"OO",6234,"N561SW",63,60,43,3,0,"SFO","RDD",199,5,15,0,"",0,0,0,0,0,0
2008,1,31,4,2216,2140,531,505,"NW",346,"N527US",255,265,227,26,36,"SFO","DTW",2079,9,19,0,"",0,4,0,0,0,22
2005,7,17,7,905,910,1230,1240,"F9",668,"N803FR",145,150,122,-10,-5,"SFO","DEN",967,8,15,0,"",0,0,0,0,0,0
2008,9,23,2,859,905,1121,1125,"AA",39,"N5ETAA",322,320,300,-4,-6,"SFO","HNL",2398,4,18,0,"",0,NA,NA,NA,NA,NA
2005,3,5,6,827,830,1208,1200,"HA",11,"N587HA",341,330,193,8,-3,"SFO","HNL",2398,12,16,0,"",0,0,0,0,0,0
2005,12,19,1,1321,1125,2207,2000,"UA",182,"N567UA",346,335,318,127,116,"SFO","BOS",2704,6,22,0,"",0,0,0,16,0,111
2005,3,3,4,1751,1755,2118,2132,"TZ",4517,"N556TZ",327,337,306,-14,-4,"SFO","HNL",2398,4,17,0,"",0,0,0,0,0,0
2005,10,26,3,1719,1545,1842,1715,"OO",6264,"N288SW",83,90,68,87,94,"SFO","MFR",329,4,11,0,"",0,0,0,0,0,87
2007,7,19,4,2235,2225,615,607,"US",1485,"N704US",280,282,263,8,10,"SFO","PIT",2254,4,13,0,"",0,0,0,0,0,0
2005,8,31,3,1224,1230,2001,2013,"FL",44,"N126AT",277,283,245,-12,-6,"SFO","ATL",2139,5,27,0,"",0,0,0,0,0,0
2008,8,1,5,2117,2123,2242,2249,"UA",805,"N830UA",85,86,56,-7,-6,"SFO","LAX",337,13,16,0,"",0,NA,NA,NA,NA,NA
2008,9,12,5,1319,1153,1439,1311,"OO",5478,"N234SW",80,78,56,88,86,"SFO","ACV",250,5,19,0,"",0,86,0,2,0,0
2005,8,2,2,1442,1444,1559,1558,"OO",6191,"N232SW",77,74,56,1,-2,"SFO","ACV",250,3,18,0,"",0,0,0,0,0,0
2006,2,9,4,2005,2005,2327,2325,"F9",662,"N921FR",142,140,127,2,0,"SFO","DEN",967,7,8,0,"",0,0,0,0,0,0
2005,12,26,1,2231,2210,42,8,"UA",189,"N513UA",131,118,95,34,21,"SFO","SEA",679,4,32,0,"",0,0,0,13,0,21
2007,3,10,6,1544,1550,1658,1710,"F9",1914,"N933FR",74,80,51,-12,-6,"SFO","LAX",337,10,13,0,"",0,0,0,0,0,0
2007,5,15,2,734,740,1322,1332,"CO",1444,"N38257",228,232,208,-10,-6,"SFO","IAH",1635,6,14,0,"",0,0,0,0,0,0
2008,6,30,1,2241,2237,12,2359,"OO",6140,"N951SW",91,82,59,13,4,"SFO","ONT",363,4,28,0,"",0,NA,NA,NA,NA,NA
2008,3,14,5,2115,2112,2230,2229,"OO",6415,"N908SW",75,77,46,1,3,"SFO","PMD",316,7,22,0,"",0,NA,NA,NA,NA,NA
2005,6,7,2,1423,1411,1516,1506,"OO",6420,"N962SW",53,55,32,10,12,"SFO","RNO",192,3,18,0,"",0,0,0,0,0,0
2008,3,29,6,1331,1330,1609,1606,"UA",55,"N552UA",338,336,317,3,1,"SFO","KOA",2367,4,17,0,"",0,NA,NA,NA,NA,NA
2008,4,13,7,1628,1630,1843,1851,"UA",39,"N552UA",315,321,295,-8,-2,"SFO","OGG",2338,5,15,0,"",0,NA,NA,NA,NA,NA
