"ccode","year","nyt.count","muslim","polity2","physint","amnesty","statedept","gdp.pc.un","pop.wdi","wopol","wosoc","wecon","domestic9","region","idealpoint"
100,1979,23,0,8,NA,5,3,1500.28197043334,26326236,NA,NA,NA,1937,"LA",0.1216321
100,1980,105,0,8,NA,4,3,1752.54233764551,26934591,NA,NA,NA,1875,"LA",0.3279929
100,1981,50,0,8,1,4,3,1867.0428344674,27550172,1,1,2,2750,"LA",0.1955795
100,1982,39,0,8,3,5,3,1954.79154779284,28173493,1,1,2,1250,"LA",0.07314677
100,1983,52,0,8,NA,4,3,1900.54798714175,28803276,1,1,2,1250,"LA",0.04930234
100,1984,66,0,8,1,4,3,1836.89003392843,29438030,1,1,1,3750,"LA",0.03903471
100,1985,110,0,8,1,4,3,1639.89343388961,30076525,1,1,2,1250,"LA",0.1348264
100,1986,69,0,8,2,5,4,1607.82073127504,30718127,1,1,2,3125,"LA",0.1221402
100,1987,58,0,8,0,4,4,1639.18498397992,31362479,1,1,1,2562,"LA",0.006337146
100,1988,73,0,8,0,5,4,1731.47438155855,32009024,1,2,1,4500,"LA",0.188541
100,1989,180,0,8,1,5,4,1711.35842011963,32657292,1,2,2,5250,"LA",-0.14661
100,1990,137,0,8,0,5,5,1709.09942110219,33306941,2,1,1,7187,"LA",-0.4371134
100,1991,103,0,9,2,5,5,1716.58918931958,33957286,2,NA,1,2125,"LA",-0.5298871
100,1992,55,0,9,2,5,4,1802.74849283086,34608171,2,NA,1,0,"LA",-0.5688022
100,1993,79,0,9,2,5,5,2047.97835892982,35260456,2,1,1,937,"LA",-0.5632248
100,1994,88,0,9,NA,5,5,2653.69978704002,35915434,2,1,1,1562,"LA",-0.6189407
100,1995,97,0,7,0,4,5,3015.60418593477,36573895,2,1,1,8937,"LA",-0.6020362
100,1996,119,0,7,0,5,5,3110.69060810305,37236124,2,1,1,4625,"LA",-0.620278
100,1997,64,0,7,0,5,5,3355.68466852074,37901358,2,1,1,6187,"LA",-0.6765832
100,1998,79,0,7,0,5,5,3045.48310206024,38568056,2,1,1,6375,"LA",-0.6723359
100,1999,91,0,7,1,5,5,2622.66961294565,39234115,2,1,1,7437,"LA",-0.4976533
100,2000,160,0,7,0,5,5,2503.27856528563,39897984,2,1,1,8687,"LA",-0.3289812
100,2001,135,0,7,1,5,5,2421.47498313542,40558648,2,1,1,8687,"LA",-0.3257868
100,2002,129,0,7,2,5,5,2376.80221396419,41216304,2,1,1,8125,"LA",-0.2489517
100,2003,90,0,7,0,5,5,2260.25183393985,41872051,2,1,1,12687,"LA",-0.3222081
100,2004,96,0,7,0,5,5,2753.06998085278,42527623,2,1,1,14875,"LA",-0.4408094
100,2005,73,0,7,0,5,4,3393.99263770753,43184026,2,NA,1,7187,"LA",-0.502893
100,2006,58,0,7,0,5,4,3708.60093058127,43841370,2,NA,1,6562,"LA",-0.3165988
100,2007,101,0,7,0,4,4,4661.21338284359,44498390,2,2,2,3375,"LA",-0.2046998
100,2008,142,0,7,0,5,4,5403.45573508682,45153037,2,NA,1,3125,"LA",-0.2017399
100,2009,60,0,7,1,5,4,5104.99118641639,45802561,2,NA,1,0,"LA",-0.1474465
100,2010,63,0,7,1,5,4,6179.77021224034,46444798,2,NA,1,0,"LA",-0.1251559
100,2011,72,0,7,1,5,3,7144.32878679149,47078792,2,NA,1,12,"LA",-0.08007873
100,2012,68,0,7,NA,4,3,7752.16814867147,47704427,NA,NA,NA,8125,"LA",-0.03688616
100,2013,41,0,7,NA,NA,NA,NA,48321405,NA,NA,NA,NA,"LA",-0.083704
100,2014,92,0,NA,NA,NA,NA,NA,48929706,NA,NA,NA,NA,"LA",-0.1526398
101,1979,49,0,9,NA,3,2,3862.86562340307,14628595,NA,NA,NA,0,"LA",0.08429886
101,1980,46,0,9,NA,3,2,4580.37779128639,15096432,NA,NA,NA,0,"LA",0.05272161
101,1981,52,0,9,6,2,1,4989.33813988111,15549525,1,2,2,0,"LA",0.002943507
101,1982,46,0,9,5,NA,2,4954.8722161031,15990376,1,2,2,1250,"LA",-0.144342
101,1983,64,0,9,6,3,2,4810.55832203971,16426198,1,2,2,125,"LA",-0.220926
101,1984,51,0,9,3,2,2,3434.54866448376,16867806,1,2,2,0,"LA",-0.1911065
101,1985,29,0,9,5,2,2,3461.53055493755,17322754,1,2,2,0,"LA",-0.2156994
101,1986,28,0,9,4,4,2,3291.17062836311,17793283,1,2,1,0,"LA",-0.1088947
101,1987,28,0,9,4,3,2,2543.06909994455,18275997,1,2,1,1062,"LA",-0.1156708
101,1988,19,0,9,5,3,2,3105.63406109069,18766017,2,2,2,562,"LA",-0.1113501
101,1989,53,0,9,2,4,4,2151.92068779459,19256060,2,2,2,312,"LA",-0.2346298
101,1990,23,0,9,2,3,3,2382.69982297685,19740786,2,2,1,312,"LA",-0.341526
101,1991,18,0,9,3,3,3,2558.32329650415,20218813,2,1,2,2250,"LA",-0.40847
101,1992,38,0,8,1,4,3,2825.5054639637,20691641,2,1,2,5312,"LA",-0.3733257
101,1993,22,0,8,1,4,3,2745.59615577468,21160262,2,2,2,2937,"LA",-0.3721991
101,1994,27,0,8,1,4,4,2643.17850271011,21626607,2,1,2,875,"LA",-0.5022306
101,1995,14,0,8,1,4,3,3389.84225985366,22092144,2,1,2,250,"LA",-0.3795996
101,1996,37,0,8,2,4,5,3025.94028999688,22556838,2,1,2,1625,"LA",-0.3296264
101,1997,17,0,8,2,4,3,3728.80071502673,23020184,2,1,2,875,"LA",-0.2933417
101,1998,36,0,8,3,3,3,3889.53413600718,23482700,2,1,2,0,"LA",-0.3847765
101,1999,54,0,7,4,3,3,4091.57796109238,23945002,2,1,2,250,"LA",-0.4828007
101,2000,56,0,7,4,2,3,4799.59896033967,24407553,2,1,2,812,"LA",-0.5080071
101,2001,31,0,6,4,3,3,4942.05296746296,24870441,2,2,2,1437,"LA",-0.4888207
101,2002,126,0,6,4,4,4,3666.65244220441,25333622,2,1,2,4500,"LA",-0.4524048
101,2003,88,0,6,4,3,3,3237.91223057924,25797219,2,2,2,1312,"LA",-0.5069095
101,2004,85,0,6,2,3,3,4282.01532637698,26261326,2,2,2,1000,"LA",-0.7886302
101,2005,82,0,6,2,3,3,5444.66251785196,26725897,2,NA,2,0,"LA",-1.01332
101,2006,136,0,5,2,3,4,6747.75912469091,27190882,2,NA,1,0,"LA",-1.140772
101,2007,158,0,5,2,3,4,8329.64048824985,27655937,2,NA,2,250,"LA",-1.172131
101,2008,132,0,5,3,3,4,11223.2113050461,28120312,2,NA,2,0,"LA",-1.239096
101,2009,95,0,-3,3,3,4,11524.9805306324,28583040,2,NA,2,312,"LA",-1.327994
101,2010,68,0,-3,2,3,3,13559.3318233782,29043283,2,NA,2,0,"LA",-1.341992
101,2011,54,0,-3,3,3,3,10727.9825698731,29500625,3,NA,2,0,"LA",-1.63137
101,2012,137,0,-3,NA,3,4,12766.7246698664,29954782,NA,NA,NA,750,"LA",-1.533244
101,2013,149,0,4,NA,NA,NA,NA,30405207,NA,NA,NA,NA,"LA",-1.439964
101,2014,110,0,NA,NA,NA,NA,NA,30851343,NA,NA,NA,NA,"LA",-1.212075
110,1979,8,0.09,0,NA,1,2,1070.08210800022,774818,NA,NA,NA,1000,"LA",-0.3553357
110,1980,10,0.09,-7,NA,NA,3,1213.99671457925,776927,NA,NA,NA,1062,"LA",-0.3137473
110,1981,22,0.09,-7,5,NA,3,1167.39771562837,775662,2,1,1,125,"LA",-0.3093436
110,1982,15,0.09,-7,5,NA,3,996.175921841933,771596,2,1,1,312,"LA",-0.4432286
110,1983,6,0.09,-7,6,NA,3,1010.34269428976,765512,2,1,1,0,"LA",-0.5120188
110,1984,6,0.09,-7,5,3,3,932.716263599271,758580,2,1,2,0,"LA",-0.446156
110,1985,7,0.09,-7,7,2,2,979.909352254526,751720,2,2,2,0,"LA",-0.4788547
110,1986,4,0.09,-7,7,2,2,1111.5496691469,745133,2,1,1,0,"LA",-0.6375827
110,1987,3,0.09,-7,6,1,2,742.764941041302,738779,2,1,2,0,"LA",-0.7183607
110,1988,1,0.09,-7,7,2,2,899.967332144704,733057,2,1,1,0,"LA",-0.8044653
110,1989,2,0.09,-7,6,2,2,832.741692725622,728382,2,1,1,0,"LA",-0.8066794
110,1990,1,0.09,-7,5,2,2,871.529657824633,725043,2,1,2,0,"LA",-0.8332862
110,1991,1,0.09,-7,7,2,2,768.400630079169,723259,2,1,1,0,"LA",-0.7465704
110,1992,3,0.09,6,7,2,2,824.612895853971,723008,2,1,1,0,"LA",-0.6847665
110,1993,1,0.09,6,6,2,2,1027.57816046556,724014,2,1,2,0,"LA",-0.4093552
110,1994,3,0.09,6,7,2,2,1198.08490388683,725839,2,1,0,0,"LA",-0.4333628
110,1995,1,0.09,6,8,1,2,1361.53654354146,728136,2,1,0,0,"LA",-0.3936802
110,1996,1,0.09,6,6,2,2,1539.40856008219,730865,2,1,1,125,"LA",-0.385973
