pic_id,condition,attractiveness,competence,dominance,fatherliness,femininity,motherliness,electability,office,year,voteshare2p
100_12,Masc_Wom,0.339393939,0.528037383,0.384146341,NA,0.585526316,0.541666667,0.495,State Representative,2012,0.414459676
1003_04,Masc_Man,0.457446809,0.664772727,0.546875,0.5625,0.237318841,NA,0.511235955,State Senator,2004,0.492832035
1004_04,Fem_Wom,0.337121212,0.46875,0.415178571,NA,0.743859649,0.522222222,0.361702128,State Senator,2004,0.507167935
1021_04,Masc_Wom,0.41025641,0.603703704,0.39673913,NA,0.776094276,0.619791667,0.5025,State Representative,2004,0.289291918
1022_04,Fem_Wom,0.560606061,0.746376812,0.372881356,NA,0.822344322,0.701923077,0.575,State Representative,2004,0.710708082
1026_04,Fem_Wom,0.50297619,0.661993769,0.339285714,NA,0.76875,0.574074074,0.516483516,State Representative,2004,0.394064844
1028_04,Masc_Wom,0.264957265,0.59469697,0.409574468,NA,0.651515152,0.492424242,0.438073394,State Representative,2004,0.378124565
1029_04,Masc_Wom,0.433333333,0.632302405,0.418181818,NA,0.737373737,0.721153846,0.474226804,State Representative,2004,0.488020986
1030_04,Masc_Man,0.496527778,0.666666667,0.596590909,0.523584906,0.237827715,NA,0.442771084,State Representative,2004,0.62746805
1031_04,Masc_Man,0.504504505,0.677902622,0.576923077,0.596590909,0.255451713,NA,0.436893204,State Representative,2004,0.37253195
1032_04,Fem_Wom,0.531446541,0.659649123,0.445121951,NA,0.806584362,0.710526316,0.565533981,State Representative,2004,0.472711176
1033_04,Masc_Man,0.423913043,0.625448029,0.527777778,0.581521739,0.233676976,NA,0.509615385,State Representative,2004,0.387369454
1034_04,Masc_Man,0.366013072,0.636200717,0.390909091,0.585714286,0.253267974,NA,0.516666667,State Representative,2004,0.357752562
1035_04,Fem_Wom,0.674074074,0.647569444,0.455882353,NA,0.850793651,0.59,0.525280899,State Representative,2004,0.642247438
1039_04,Masc_Wom,0.329787234,0.56,0.351851852,NA,0.683333333,0.473214286,0.505747126,State Representative,2004,0.393171251
1040_04,Fem_Wom,0.408496732,0.600358423,0.352040816,NA,0.742105263,0.635135135,0.492021277,State Representative,2004,0.480903655
1044_04,Fem_Man,0.352941176,0.543956044,0.277173913,0.495192308,0.304123711,NA,0.472772277,State Representative,2004,0.44351542
1050_04,Masc_Wom,0.358695652,0.545918367,0.375,NA,0.676706827,0.63372093,0.442567568,State Representative,2004,0.467776865
106_06,Masc_Wom,0.434027778,0.528455285,0.34375,NA,0.669902913,0.628205128,0.511904762,State Representative,2006,0.403175443
119_08,Masc_Man,0.427083333,0.568910256,0.403846154,0.560810811,0.224137931,NA,0.433908046,State Representative,2008,0.395693243
12_12,Fem_Man,0.365079365,0.587301587,0.414634146,0.407407407,0.281553398,NA,0.483173077,State Representative,2012,0.275354713
123_08,Fem_Man,0.464285714,0.65942029,0.421296296,0.505952381,0.31292517,NA,0.525700935,State Senator,2008,0.413385749
132_04,Fem_Wom,0.590277778,0.662698413,0.616666667,NA,0.718213058,0.559782609,0.535123967,State Representative,2004,0.527288795
132_06,Fem_Wom,0.595833333,0.681318681,0.551020408,NA,0.776699029,0.429487179,0.529761905,State Representative,2006,0.477456838
134_04,Fem_Wom,0.619047619,0.676245211,0.4375,NA,0.837535014,0.655660377,0.516853933,State Representative,2004,0.515850723
134_06,Fem_Wom,0.676282051,0.627147766,0.392857143,NA,0.862179487,0.5625,0.52293578,State Representative,2006,0.620143414
143_06,Fem_Man,0.408730159,0.574766355,0.360576923,0.560185185,0.32231405,NA,0.463483146,State Representative,2006,0.199583754
148_04,Fem_Wom,0.408163265,0.551546392,0.45212766,NA,0.782051282,0.5,0.431547619,State Representative,2004,0.55648458
148_06,Fem_Wom,0.416666667,0.448148148,0.52173913,NA,0.734649123,0.446078431,0.373762376,State Representative,2006,0.508139491
157_12,Masc_Man,0.43115942,0.570446735,0.442708333,0.431034483,0.2,NA,0.432065217,State Representative,2012,0.439662546
16_04,Masc_Man,0.53030303,0.646226415,0.483333333,0.643617021,0.223404255,NA,0.504901961,State Representative,2004,0.612630546
160_06,Fem_Man,0.455555556,0.589347079,0.494186047,0.566964286,0.251436782,NA,0.492574257,State Representative,2006,0.351152301
164_12,Masc_Wom,0.445736434,0.572916667,0.512820513,NA,0.638629283,0.513157895,0.5,State Senator,2014,0.661512911
164_12,Masc_Wom,0.445736434,0.572916667,0.512820513,NA,0.638629283,0.513157895,0.5,State Senator,2012,0.665408313
165_06,Masc_Wom,0.336601307,0.607407407,0.357142857,NA,0.654434251,0.572916667,0.482843137,State Representative,2006,0.643850803
165_08,Masc_Wom,0.46875,0.542124542,0.317073171,NA,0.641414141,0.464285714,0.491573034,State Representative,2010,0.568251669
165_08,Masc_Wom,0.46875,0.542124542,0.317073171,NA,0.641414141,0.464285714,0.491573034,State Representative,2008,0.66207391
186_12,Masc_Wom,0.388888889,0.590425532,0.433823529,NA,0.663043478,0.54,0.448170732,State Senator,2012,0.40803051
188_04,Fem_Wom,0.451219512,0.694756554,0.520491803,NA,0.769076305,0.653061224,0.546195652,State Senator,2004,0.64677304
188_08,Fem_Wom,0.446808511,0.661048689,0.418367347,NA,0.697916667,0.619047619,0.49744898,State Senator,2008,0.701816678
188_12,Fem_Wom,0.535087719,0.7,0.522058824,NA,0.796703297,0.625,0.569148936,State Senator,2012,0.695159256
19_12,Fem_Wom,0.403508772,0.544554455,0.424107143,NA,0.676587302,0.5,0.430555556,State Senator,2012,0.398334891
195_06,Fem_Man,0.517730496,0.572327044,0.461538462,0.511111111,0.26969697,NA,0.486263736,State Representative,2006,0.699757159
201_12,Fem_Man,0.310897436,0.517133956,0.411764706,0.528301887,0.258426966,NA,0.409313725,State Senator,2012,0.653887808
208_06,Masc_Wom,0.333333333,0.543137255,0.346938776,NA,0.616666667,0.494897959,0.471052632,State Representative,2006,0.800416231
211_06,Masc_Wom,0.446808511,0.574561404,0.37804878,NA,0.698245614,0.662162162,0.582474227,State Senator,2006,0.53715694
22_06,Masc_Man,0.409356725,0.694444444,0.483695652,0.62195122,0.182291667,NA,0.530769231,State Representative,2004,0.511978984
22_06,Masc_Man,0.409356725,0.694444444,0.483695652,0.62195122,0.182291667,NA,0.530769231,State Representative,2006,0.576665342
220_12,Masc_Man,0.578014184,0.657986111,0.560810811,0.674528302,0.166666667,NA,0.53021978,State Representative,2012,0.564863324
223_06,Fem_Man,0.455782313,0.595,0.299019608,0.581632653,0.346153846,NA,0.507731959,State Representative,2006,0.207385063
226_04,Masc_Wom,0.367816092,0.584249084,0.493055556,NA,0.666666667,0.654255319,0.5,State Representative,2004,0.493171483
226_06,Masc_Wom,0.47008547,0.638554217,0.472222222,NA,0.652515723,0.511904762,0.486842105,State Representative,2006,0.515829861
227_06,Fem_Man,0.345588235,0.588768116,0.38,0.50462963,0.299196787,NA,0.450549451,State Representative,2006,0.648847699
236_12,Fem_Wom,0.583333333,0.675799087,0.48,NA,0.809294872,0.557692308,0.549479167,State Representative,2012,0.825449169
239_06,Masc_Man,0.56969697,0.666666667,0.546610169,0.573863636,0.232087227,NA,0.524752475,State Representative,2006,0.607658923
241_08,Fem_Wom,0.490740741,0.631498471,0.335526316,NA,0.700803213,0.604651163,0.507352941,State Representative,2008,0.469982147
242_12,Fem_Wom,0.543650794,0.691740413,0.441860465,NA,0.788778878,0.591836735,0.569306931,State Representative,2012,0.651504993
243_06,Masc_Wom,0.367521368,0.51369863,0.369047619,NA,0.643939394,0.481707317,0.454545455,State Representative,2006,0.349590689
244_04,Masc_Man,0.527777778,0.669871795,0.556603774,0.66509434,0.223004695,NA,0.517241379,State Representative,2004,0.47688669
246_12,Fem_Man,0.348214286,0.54950495,0.217592593,0.488095238,0.258823529,NA,0.384803922,State Senator,2012,0.346112192
249_04,Masc_Wom,0.341085271,0.501811594,0.409836066,NA,0.540084388,0.493243243,0.425531915,State Representative,2004,0.430892736
249_08,Fem_Man,0.298611111,0.516666667,0.345454545,0.605932203,0.375457875,NA,0.425619835,State Representative,2008,0.439544767
256_06,Masc_Man,0.541666667,0.603942652,0.551020408,0.588541667,0.230452675,NA,0.492647059,State Senator,2006,0.482822537
257_12,Masc_Man,0.453900709,0.602666667,0.554545455,0.488888889,0.258730159,NA,0.463855422,State Representative,2012,0.555778086
260_06,Masc_Wom,0.426829268,0.613149847,0.452830189,NA,0.697115385,0.578431373,0.480555556,State Representative,2006,0.369446516
265_12,Fem_Man,0.419642857,0.614341085,0.358695652,0.641509434,0.269230769,NA,0.458333333,State Representative,2012,0.525710642
265_12,Fem_Man,0.419642857,0.614341085,0.358695652,0.641509434,0.269230769,NA,0.458333333,State Representative,2014,0.550358951
269_12,Fem_Man,0.540650407,0.538194444,0.323529412,0.385,0.34057971,NA,0.466101695,State Representative,2012,0.555898249
273_12,Fem_Man,0.462962963,0.594135802,0.479591837,0.522222222,0.344339623,NA,0.463068182,State Representative,2012,0.400497526
276_04,Fem_Man,0.399122807,0.612403101,0.490384615,0.613636364,0.29040404,NA,0.485632184,State Representative,2006,0.650409281
282_12,Fem_Man,0.323717949,0.559386973,0.419491525,0.470588235,0.267068273,NA,0.470833333,State Senator,2012,0.334591657
283_04,Masc_Man,0.623015873,0.663366337,0.579787234,0.636363636,0.208333333,NA,0.553977273,State Senator,2004,0.35322696
283_08,Masc_Man,0.620155039,0.691860465,0.526595745,0.586956522,0.220486111,NA,0.5375,State Senator,2008,0.298183352
286_08,Masc_Wom,0.310897436,0.498084291,0.290322581,NA,0.682624113,0.350961538,0.467261905,State Representative,2008,0.536379635
288_12,Masc_Wom,0.427350427,0.662790698,0.392857143,NA,0.718137255,0.62037037,0.514204545,State Representative,2014,0.566105425
288_12,Masc_Wom,0.427350427,0.662790698,0.392857143,NA,0.718137255,0.62037037,0.514204545,State Representative,2012,0.519277215
289_08,Fem_Wom,0.503205128,0.595833333,0.306603774,NA,0.771604938,0.607954545,0.493801653,State Representative,2008,0.385956019
291_04,Fem_Wom,0.652173913,0.707843137,0.541666667,NA,0.808580858,0.666666667,0.573529412,State Representative,2004,0.533788562
291_06,Fem_Wom,0.412121212,0.585964912,0.454545455,NA,0.732142857,0.7125,0.490740741,State Representative,2006,0.520893872
297_04,Masc_Wom,0.604651163,0.672284644,0.487179487,NA,0.730952381,0.489583333,0.574519231,State Representative,2004,0.466787905
299_12,Masc_Wom,0.307971014,0.511111111,0.36627907,NA,0.654255319,0.527027027,0.433823529,State Representative,2012,0.444221914
3_06,Masc_Man,0.482993197,0.638888889,0.528571429,0.581730769,0.244565217,NA,0.50990099,State Representative,2006,0.423334628
30_12,Fem_Man,0.327272727,0.451327434,0.284313725,0.329787234,0.409785933,NA,0.382716049,State Representative,2012,0.536113739
309_12,Fem_Man,0.486666667,0.650442478,0.541666667,0.662162162,0.259090909,NA,0.49754902,State Representative,2012,0.585540354
311_06,Fem_Wom,0.695035461,0.706349206,0.394230769,NA,0.885416667,0.622340426,0.539634146,State Representative,2006,0.571155608
315_04,Masc_Man,0.407407407,0.564583333,0.42,0.457317073,0.255,NA,0.47606383,State Representative,2004,0.515348971
315_06,Masc_Man,0.449275362,0.657986111,0.4375,0.461538462,0.28956229,NA,0.5,State Representative,2006,0.558069646
318_04,Masc_Wom,0.45035461,0.640350877,0.440217391,NA,0.6875,0.586956522,0.556122449,State Senator,2004,0.530148566
318_08,Masc_Wom,0.432432432,0.615079365,0.398809524,NA,0.585069444,0.621428571,0.488888889,State Senator,2008,0.586614251
318_12,Masc_Wom,0.338709677,0.549382716,0.361842105,NA,0.636524823,0.679347826,0.460365854,State Senator,2012,0.547511101
320_06,Masc_Man,0.3375,0.511111111,0.550925926,0.531914894,0.211469534,NA,0.343137255,State Representative,2006,0.392341077
324_04,Fem_Wom,0.635220126,0.652439024,0.515,NA,0.878787879,0.512820513,0.541666667,State Representative,2004,0.533212125
324_06,Fem_Wom,0.631782946,0.666666667,0.456730769,NA,0.824468085,0.559090909,0.536931818,State Representative,2006,0.576664567
324_08,Fem_Wom,0.445578231,0.558608059,0.446428571,NA,0.793172691,0.552884615,0.427777778,State Representative,2008,0.481985986
325_08,Fem_Wom,0.68018018,0.676375405,0.43452381,NA,0.858974359,0.617021277,0.524074074,State Senator,2008,0.319752544
327_06,Masc_Wom,0.614285714,0.661971831,0.577380952,NA,0.765,0.64673913,0.619186047,State Senator,2006,0.361811459
329_08,Masc_Wom,0.484496124,0.659863946,0.514423077,NA,0.680685358,0.507352941,0.497126437,State Representative,2008,0.463609695
331_04,Masc_Man,0.418238994,0.615530303,0.510638298,0.555555556,0.259856631,NA,0.474056604,State Representative,2004,0.569107294
332_12,Fem_Wom,0.419871795,0.625448029,0.38125,NA,0.757009346,0.697916667,0.533707865,State Representative,2012,0.348494977
335_08,Fem_Wom,0.628930818,0.675,0.5,NA,0.807471264,0.610465116,0.57183908,State Senator,2008,0.402881891
337_12,Masc_Wom,0.43902439,0.629251701,0.521428571,NA,0.685416667,0.75,0.5325,State Representative,2012,0.599502504
340_12,Masc_Man,0.493197279,0.618773946,0.611607143,0.377272727,0.20790378,NA,0.493362832,State Representative,2012,0.311624229
341_08,Fem_Man,0.371794872,0.489010989,0.413043478,0.441489362,0.393274854,NA,0.388349515,State Senator,2008,0.680247426
35_04,Masc_Wom,0.579545455,0.733333333,0.554878049,NA,0.666666667,0.612745098,0.598557692,State Representative,2004,0.555974901
35_06,Fem_Wom,0.557823129,0.659722222,0.546296296,NA,0.728956229,0.560606061,0.566176471,State Representative,2006,0.533882797
35_08,Masc_Wom,0.460784314,0.663430421,0.486842105,NA,0.724137931,0.693396226,0.503289474,State Representative,2008,0.676868618
353_08,Masc_Wom,0.390070922,0.604395604,0.392857143,NA,0.572463768,0.469827586,0.5,State Representative,2008,0.845552027
353_08,Masc_Wom,0.390070922,0.604395604,0.392857143,NA,0.572463768,0.469827586,0.5,State Representative,2010,0.787514269
356_08,Masc_Man,0.315217391,0.556122449,0.61875,0.38362069,0.170588235,NA,0.461340206,State Representative,2008,0.477908403
357_08,Fem_Man,0.551020408,0.573684211,0.355,0.352040816,0.365781711,NA,0.463235294,State Representative,2008,0.530017853
36_06,Masc_Wom,0.359477124,0.617216117,0.571428571,NA,0.61622807,0.432291667,0.477678571,State Representative,2006,0.454984337
364_08,Fem_Wom,0.416666667,0.594444444,0.326612903,NA,0.769097222,0.592741935,0.531609195,State Representative,2008,0.464005053
378_06,Masc_Wom,0.370689655,0.533783784,0.38372093,NA,0.593869732,0.443181818,0.420454545,State Representative,2006,0.274464279
379_12,Fem_Wom,0.443089431,0.611742424,0.466666667,NA,0.770114943,0.579545455,0.503164557,State Representative,2012,0.438462973
380_06,Fem_Wom,0.459349593,0.546099291,0.397959184,NA,0.705782313,0.461538462,0.494680851,State Representative,2006,0.725535691
380_12,Fem_Wom,0.4,0.631868132,0.377192982,NA,0.72275641,0.510416667,0.56626506,State Representative,2012,0.688375771
382_12,Fem_Man,0.358490566,0.564102564,0.357142857,0.4,0.338596491,NA,0.431318681,State Representative,2012,0.435136676
384_06,Masc_Man,0.340136054,0.590909091,0.389534884,0.5,0.270833333,NA,0.413043478,State Representative,2006,0.379856586
387_12,Fem_Man,0.465517241,0.538348083,0.5,0.380681818,0.312056738,NA,0.432038835,State Representative,2012,0.470882565
388_04,Fem_Wom,0.618055556,0.613268608,0.427884615,NA,0.756272401,0.59,0.534946237,State Representative,2004,0.575729966
388_06,Fem_Wom,0.534090909,0.619318182,0.45625,NA,0.780392157,0.576530612,0.5125,State Representative,2006,0.557435155
389_06,Masc_Man,0.570621469,0.630503145,0.489795918,0.572115385,0.275362319,NA,0.526041667,State Senator,2006,0.46284306
393_04,Fem_Man,0.456666667,0.601010101,0.421568627,0.607142857,0.263157895,NA,0.491758242,State Representative,2004,0.605935156
393_12,Fem_Man,0.354700855,0.560077519,0.463636364,0.611111111,0.251488095,NA,0.461165049,State Representative,2012,0.664316535
395_06,Masc_Man,0.430894309,0.511904762,0.529411765,0.411111111,0.234432234,NA,0.439759036,State Representative,2006,0.255059361
403_06,Fem_Man,0.441176471,0.645424837,0.5,0.558035714,0.264367816,NA,0.4675,State Representative,2006,0.744940639
407_06,Masc_Wom,0.51572327,0.662835249,0.607758621,NA,0.675257732,0.568181818,0.473529412,State Senator,2006,0.328472197
411_12,Masc_Man,0.526515152,0.652920962,0.426724138,0.679487179,0.269230769,NA,0.505747126,State Representative,2012,0.302885711
413_08,Fem_Man,0.490566038,0.584313725,0.363095238,0.581632653,0.272727273,NA,0.5,State Representative,2008,0.453597575
414_06,Fem_Man,0.512345679,0.666666667,0.504901961,0.618181818,0.238317757,NA,0.532327586,State Senator,2006,0.570435166
417_04,Masc_Man,0.445833333,0.623762376,0.295918367,0.476190476,0.34375,NA,0.5,State Representative,2004,0.466211408
417_06,Masc_Man,0.450819672,0.591194969,0.375,0.407894737,0.340136054,NA,0.474226804,State Representative,2006,0.479106098
423_06,Fem_Wom,0.678571429,0.662337662,0.39375,NA,0.8125,0.640625,0.5859375,State Representative,2006,0.325056016
432_08,Fem_Man,0.434108527,0.632398754,0.489361702,0.556818182,0.29969419,NA,0.513736264,State Representative,2008,0.614043951
434_04,Fem_Man,0.348039216,0.579268293,0.412280702,0.455555556,0.307017544,NA,0.422222222,State Senator,2004,0.469851434
44_06,Masc_Man,0.37654321,0.475,0.457446809,0.366666667,0.235087719,NA,0.415929204,State Representative,2006,0.356149167
441_06,Masc_Man,0.414529915,0.508680556,0.421568627,0.254716981,0.244318182,NA,0.42032967,State Representative,2006,0.423335433
444_08,Masc_Man,0.439393939,0.59437751,0.5,0.506097561,0.251984127,NA,0.39673913,State Representative,2008,0.536390305
445_06,Fem_Man,0.563636364,0.624113475,0.473214286,0.461111111,0.26984127,NA,0.5,State Representative,2006,0.491860509
449_12,Masc_Wom,0.2875,0.479919679,0.28125,NA,0.649484536,0.49,0.455555556,State Representative,2012,0.335683465
