headline,date,id
b'Prince Memorial Concert to Feature Stevie Wonder and Others',2016-09-17,57dc61e138f0d84ba6a0c6c6
b'Prince\xe2\x80\x99s Old Band Resurrects Him Through His Songs',2016-09-03,57c9f10f38f0d8656933ff9f
"b'Paisley Park, Prince\xe2\x80\x99s Estate, Will Open as a Museum'",2016-08-26,57bf145138f0d850d30c939e
b'Another Side of Bob Dylan: Iron Sculptor',2016-09-08,57d0545438f0d82f70ca102a
b'The Revolution: A \xe2\x80\x98Purple Rain\xe2\x80\x99 Reunion in Prince\xe2\x80\x99s Honor',2016-07-09,577fe62f38f0d8706f764119
"b'Prince Buster, Trailblazer of Ska, Dies at 78'",2016-09-12,57d587c138f0d825f21c0358
b'Prince in The Times',2016-04-21,57192a7638f0d80deffe5bce
"b'Prince Rockets to No. 1 as Fans Buy (Yes, Buy) His Albums'",2016-04-26,571e56b038f0d86688737029
"b'Prince, Onstage and On the Town'",2016-04-21,5719281738f0d80deffe5bc3
b'A Master of Pop Music',2016-04-21,5719708838f0d80deffe5d2e
b'Popcast: Remembering Prince',2016-04-22,571a8bb238f0d830b440ba11
b'Beyonc\xc3\xa9\xe2\x80\x99s \xe2\x80\x98Lemonade\xe2\x80\x99 Debuts at No. 1 With Huge Streaming Numbers',2016-05-03,5727a28a38f0d80b105e402d
b'Prince and the Competition',2016-04-22,571ab02338f0d830b440bab0
"b'The Wisdom of Prince, as Told by His Collaborators'",2016-04-28,572106af38f0d83acb9a6048
"b'The Revolution, Prince\xe2\x80\x99s Former Band, Says It Will Reunite'",2016-04-28,572090dc38f0d82fc1b1002b
b'Prince Tributes Include Purple Lighting and Broadway Performances',2016-04-23,571ab76c38f0d830b440bac5
b'Clues to the Mystery of Prince\xe2\x80\x99s Final Days',2016-04-23,571ac03038f0d830b440bae4
b'An Ode to \xe2\x80\x98the Purple One\xe2\x80\x99: Prince\xe2\x80\x99s Most Memorable Albums',2016-04-22,57192ade38f0d80deffe5bd0
b'Hints of Prince\xe2\x80\x99s Failing Health Preceded a Sudden Death',2016-04-22,5719708238f0d80deffe5d2d
b'Review: Laura Benanti Shows Range With Songs and Stories',2016-09-29,57ec344d253f0a3ac617c9d9
"b'Prince Knew What He Wanted: Sex, Soul and You'",2016-04-23,571a9fd638f0d830b440ba67
b'Spanish Archive Raises Franco-Era Ghosts and Shadows of a New Chasm',2016-07-17,578a813f38f0d834da9e4ee3
b'Prince Websites Compiled in Online Museum',2016-07-05,577ad25838f0d83e1f65d6e0
"b'Prince, an Artist Who Defied Genre, Is Dead at 57'",2016-04-22,57190b9e38f0d80deffe5b4c
b'Court Names Bank to Oversee Prince\xe2\x80\x99s Estate in Absence of a Will',2016-05-03,5727c08c38f0d80b105e4088
b'Prince\xe2\x80\x99s Holy Lust',2016-04-24,571a5ff838f0d830b440b95d
"b'After Cremation, Prince Is Celebrated in Private Funeral'",2016-04-24,571c1b4038f0d84a765c0954
b'\xe2\x80\x98Prince Was Our True Artist\xe2\x80\x99: Readers Share Their Memories',2016-04-23,571a3e5038f0d80deffe609b
b'How to See Prince\xe2\x80\x99s Minneapolis',2016-05-22,573a3dd938f0d84a2689a724
"b'Prince\xe2\x80\x99s Style, Through the Years'",2016-04-21,5719451738f0d80deffe5c5a
b'Do You Love Music? Silicon Valley Doesn\xe2\x80\x99t',2016-05-20,573ebaf338f0d8366bbe0009
b'The Prince of Infectious Pop',2016-04-21,571969da38f0d80deffe5d0f
b'How Prince Rebelled Against the Music Industry',2016-04-22,5719767438f0d80deffe5d45
"b'Tidal, on Prince\xe2\x80\x99s Birthday, Adds His Albums to Its Catalog'",2016-06-08,5756e42a38f0d839b1924a42
"b'Prince, a Master of Playing Music and Distributing It'",2016-04-23,571a2b1a38f0d80deffe603b
b'Prince Estate Names 2 to Manage Entertainment Assets',2016-06-18,576448e138f0d8589e8e20cb
b'Prince Announces Coming Memoir at Performance',2016-03-19,56ecad1c38f0d866ee6216ac
b'Prince Died From Accidental Overdose of Opioid Painkiller',2016-06-03,575084c338f0d86ce333305e
