1,"Analytically, I assault, animate things."
2,Broken barriers bounded by the bomb beat.
3,"Buildings are broken, basically I'm bombarding."
4,"Casually create catastrophes, casualties."
5,Canceling cats got their canopies collapsing.
6,Detonate a dime of dank daily doing dough.
7,"Demonstrations, Don Dada on the down low."
8,Eating other editors with each and every energetic.
9,"Epileptic episode, elevated etiquette."
10,Furious fat fabulous fantastic.
11,Flurries of funk felt feeding the fanatics.
12,Gift got great global goods gone glorious.
13,Getting godly in his game with the goriest.
14,"Hit em high, hella height, historical."
15,Hey holocaust hints hear 'em holler at your homeboy.
16,"Imitators idolize, I intimidate."
17,"In an instant, I'll rise in an irate state."
18,Juiced on my jams like jheri curls jocking joints.
19,"Justly, it's just me, writing my journals."
20,Kindly I'm kindling all kinds of kink on.
21,Karate kick type brits in my kingdom.
22,"Let me live a long life, lyrically lessons is."
23,Learned lame louses just lose to my livery.
24,"My mind makes marvelous moves, masses."
25,"Marvel and move, many mock what I've mastered."
26,Niggas nap knowing I'm nice naturally.
27,"Knack, never lack, make noise nationally."
28,"Operation, opposition, off not optional."
29,"Out of sight, out of mind, wide beaming opticals."
30,"Perfected poem, powerful punch lines."
31,Pummeling petty powder puffs in my prime.
32,Quite quaint quotes keep quiet it's Quantum.
33,Quarrelers ain't got a quarter of what we got uh.
34,"Really raw raps, rising up rapidly."
35,Riding the rushing radioactivity.
36,Super scientifical sound search sought.
37,Silencing super fire saps that are soft.
38,"Tales ten times talented, too tough."
39,"Take that, challengers, get a tune up."
40,"Universal, unique untouched."
41,"Unadulterated, the raw uncut."
42,Verb vice lord victorious valid.
43,Violate vibes that are vain make em vanished.
44,While I'm all well what a wise wordsmith just.
45,"Weaving up words, weeded up on my work shift."
46,"Xerox, my X-radiation holes extra large."
47,"X-height letters, and xylophone tones."
48,"Yellow back, yak mouth, young ones yaws."
49,Yesterday's lawn yard sell our yawn.
50,"Zig zag zombies, zoom in to the zenith."
51,"Zero in zen thoughts, overzealous rhyme ZEALOTS!...."
