text,speaker
" It is nine p.m. on the East Coast, and the moment of truth has arrived.",KELLY
" Welcome to the first debate night of the 2016 presidential campaign, live from Quicken Loans Arena in Cleveland, Ohio.I'm Megyn Kelly, along with my co-moderators, Brett Baier and Chris Wallace.Tonight.Nice.Tonight, thousands of people here in the Q, along with millions of voters at home will get their very first chance to see the candidates face off in a debate, answering the questions you want answered.",KELLY
" Less than a year from now, in this very arena, one of these 10 candidates or one of the seven on the previous debate tonight will accept the Republican party's nomination.Tonight's candidates were selected based on an average of five national polls. Just a few hours ago, you heard from the candidates ranked 11th through 17. And now, the prime-time event, the top 10.",BAIER
" Also of note, Fox News is partnering for tonight's debate with Facebook. For the past several weeks, we've been asking you for questions for the candidates on Facebook. Nearly 6 million of you, 6 million, viewed the debate videos on our site, and more than 40,000 of you submitted questions: some of which you will hear us asking the candidates tonight.",WALLACE
" As for the candidates who will be answering those questions? Here they are.Positioned on the stage by how they stand in the polls, in the center of the stage tonight, businessman Donald Trump.Former Florida Governor Jeb Bush.Wisconsin Governor Scott Walker.Former Arkansas Governor Mike Huckabee.",KELLY
" Neurosurgeon, Dr. Ben Carson.Texas Senator Ted Cruz.Florida Senator Marco Rubio.",BAIER
 Kentucky Senator Rand Paul.New Jersey Governor Chris Christie.(APPLAUSE) And your very own governor of Ohio.- John Kasich.,WALLACE
" Brett - Brett, I think you would call that a home field advantage.",WALLACE
 It might be. It might be. We'll see.(UNKNOWN): Is this in the rules? An objection's coming.,BAIER
" It might be. The rules for tonight are simple. One minute for answers, 30 seconds for follow-ups. And if a candidate runs over, you'll hear this.Pleasant, no?We also have a big crowd here with us tonight in the home of the Cavaliers, as I mentioned.And while we expect them.- we expect them to be enthusiastic, as you heard, we don't want to take anything away from the valuable time for the candidate. So, we're looking for somewhere between a reaction to a LeBron James dunk and the Cleveland Public Library across the street.Somewhere there, we'll find a balance tonight.Without further ado, let's begin.",BAIER
" Gentlemen, we know how much you love hand-raising questions. So we promise, this is the only one tonight: the only one. Is there anyone on stage, and can I see hands, who is unwilling tonight to pledge your support to the eventual nominee of the Republican party and pledge to not run an independent campaign against that person.Again, we're looking for you to raise your hand now - raise your hand now if you won't make that pledge tonight.Mr. Trump.Mr. Trump to be clear, you're standing on a Republican primary debate stage.",BAIER
 I fully understand.,TRUMP
 The place where the RNC will give the nominee the nod.,BAIER
 I fully understand.,TRUMP
 And that experts say an independent run would almost certainly hand the race over to Democrats and likely another Clinton.You can't say tonight that you can make that pledge?,BAIER
" I cannot say. I have to respect the person that, if it's not me, the person that wins, if I do win, and I'm leading by quite a bit, that's what I want to do. I can totally make that pledge. If I'm the nominee, I will pledge I will not run as an independent. But - and I am discussing it with everybody, but I'm, you know, talking about a lot of leverage. We want to win, and we will win. But I want to win as the Republican. I want to run as the Republican nominee.",TRUMP
" So tonight, you can't say if another one of these.",BAIER
 This is what's wrong!,PAUL
 OK.,BAIER
" I mean, this is what's wrong. He buys and sells politicians of all stripes, he's already.",PAUL
 Dr. Paul.,BAIER
" Hey, look, look! He's already hedging his bet on the Clintons, OK? So if he doesn't run as a Republican, maybe he supports Clinton, or maybe he runs as an independent.",PAUL
 OK.,BAIER
 -but I'd say that he's already hedging his bets because he's used to buying politicians.,PAUL
" Well, I've given him plenty of money.",TRUMP
" Just to be clear, you can't make a - we're gonna - we're going to move on.You're not gonna make the pledge tonight?",BAIER
 I will not make the pledge at this time.,TRUMP
 OK. Alright.,BAIER
