"","text"
"Mach_1.txt.content","DEDICATORY LETTER Niccolo Machiavelli to His Magnificence Lorenzo de' Medici  Those who wish to be viewed with favour by a ruler usually approach him with things from among their possessions that are very dear to them, or with things that they expect will please him. Hence, it often happens that they are presented with horses, weapons, a cloth of gold, precious stones and similar ornaments, which are worthy of their exalted position. Wishing myself to offer Your Magnificence some token of my devotion to you, I have not found among my belongings anything that I hold more dear or valuable than my knowledge of the conduct of great men, learned through long experience of modern affairs and continual study of ancient history: I have reflected on and examined these matters with great care, and have summarised them in a small volume, which I proffer to Your Magnificence.  And although I consider this work unworthy to be presented to Your "
"Mach_10.txt.content"," But considerable problems arise if territories are annexed in a country that differs in language, customs and institutions, and great good luck and great ability are needed to hold them. One of the best and most effective solutions is for the conqueror to go and live there.d This makes the possession more secure and more permanent. This is what the Turks did in Greece: .. all the other measures taken by them to hold that country would not have sufficed, if they had not instituted direct rule. For if one does do that, troubles can be detected when they are just beginning and effective measures can be taken quickly. But if one does not, the troubles are encountered when they have grown, and nothing can be done about them. Moreover, under direct rule, the country will not be exploited by your officials; the subjects  will be content if they have direct access to the ruler. Consequently, they will "
"Mach_100.txt.content","them, saying that he could not fight well with them, and he therefore wanted to confront the enemy with his own sling and knife. In short, weapons and armour belonging to others fall off you or weigh you down or constrict your movements.  After Charles VII (father of King Louis XI) had liberated France from the English, through a combination of good luck and prowess, he recognised the need for France to be defended by national troops, and formed in his kingdom an army composed of cavalry and infantry. His son Louis later disbanded the infantry, and began to employ Swiss soldiers. This blunder being followed by the others, led (as is indeed now obvious) to the present dangerous position of that Kingdom. By strengthening the position of the Swiss, he demoralised the rest of his army, for he disbanded the infantry and made his own cavalry dependent on foreign soldiers. Since they are used to fighting together with "
"Mach_101.txt.content","the Swiss, they are not confident of being able to win battles without them. The outcome is that the French are inferior to the Swiss, and without the Swiss they make a poor showing against enemies. The French armies, then, have been of a mixed character, partly mercenary and partly national. Such a combination is much better than an army of auxiliaries or an army of mercenaries but much inferior to native troops. And let this example suffice: for the Kingdom of France would be unconquerable if the military system set up by Charles had been developed or, at least, preserved. But men have so little judgement and foresight that they initiate policies that seem attractive, without noticing any poison that is concealed, as I said earlier, when referring to consumptive fevers.  Therefore, a ruler who does not recognise evils in the very early stages cannot be considered wise; this ability is given only to a few. If the beginning of the decline of the Roman Empire is sought, it will be found that it began only when the Goths started to be used as mercenaries, because that policy began to sap the strength of the Roman "
"Mach_102.txt.content","Empire; and all the vigour that was drained from it was received by the Goths.  I conclude, then, that any principality that does not have its own army cannot be secure; rather, it must rely completely on luck or the favour of others, because it lacks the strength to defend itself  in difficult times.  Wise men have always thought and held 'quod nihil sit tam infirmum aut instabile quam fama potentiae non sua vi nixa'. And one's own forces are those composed of subjects or citizens or of one's dependents; all the others are either mercenaries or auxiliaries. The right way to organise one's forces will be easily grasped, if the methods used by the four men I have cited above are examined, and if it is understood how Philip, father of Alexander the Great, and many other republics and rulers have armed and organised their states; I have complete faith in their methods. "
"Mach_103.txt.content"," XIV: How a ruler should act concerning military matters  A ruler, then, should have no other objective and no other concern, nor occupy himself with anything else except war and its methods and practices, for this pertains only to those who rule. And it is of such efficacy that it not only maintains hereditary rulers in power but very often enables men of private status to become rulers. On the other hand, it is evident that if rulers concern themselves more with the refinements of life than with military matters, they lose power. The main reason why they lose it is their neglect of the art of war; and being proficient in this art is what enables one to gain power.  Because Francesco Sforza was armed, from being a private citizen he became Duke of Milan; since his descendants did not trouble themselves with military matters, from being dukes they became private "
"Mach_104.txt.content","citizens. For being unarmed (apart from other bad consequences) results in your being despised, which is one of those disgraceful things against which a ruler must always guard, as  will be explained later. There is an enormous difference between an armed and an unarmed man; and it cannot be expected that a man who is armed  will obey willingly a man who is unarmed, or that an unarmed man can be safe among armed servants. Since the latter will be contemptuous and the former suspicious and afraid, they will not be able to work well together.  Therefore, apart from the other disadvantages already mentioned, a ruler who does not understand military matters cannot be highly regarded by his soldiers, and he cannot trust them.  A ruler should therefore always be concerned with military matters, and in peacetime he should be even more taken up with them than in "
"Mach_105.txt.content","war. There are two ways of doing this: one is by going on exercises; the other is by study.  With regard to exercises, besides keeping his troops well disciplined and trained, he should very frequently engage in hunting, thus hardening his body and, at the same time, becoming familiar with the terrain: how mountains rise, how valleys open out and plains spread out, as well as with the characteristics of rivers and swamps; he should concern himself very much with all these matters.  This practical knowledge is valuable in two ways. First, one learns well the terrain of one's own country, and understands better its natural defences; secondly, through knowing and exercising in the countryside, one easily grasps the characteristics of any new terrain that must be explored. For the hills, valleys, plains, rivers and swamps that are found in,Tuscany, for instance, are in many respects similar to those found in other regions. Thus, knowing well the terrain of one region readily permits one to become familiar with that of other regions. A ruler who lacks such expertise lacks the elements of generalship. For it enables one to track down the enemy, to encamp one's army properly, to lead an army towards the enemy, to prepare for battle, to besiege fortresses or fortified towns, in ways that conduce to victory. "
"Mach_106.txt.content"," One of the reasons why historians have praised Philopoemen, the leader of the Achaean League, is that in peacetime he was always thinking about military matters; and when he was in the countryside with companions, he often stopped and asked questions: 'If the enemy happened to be up on that hill, and we were here with our army, who would be better placed? How should we attack them, while still preserving proper military formation? How should we be able to retreat? If they retreated, how should we pursue them?' As they travelled he used to put to them all the situations in which an army might be placed. He used to listen to their opinions, then give his own, supporting.them with reasons. Because of these continual discussions, when he w'as leading his armies he was able to overcome any difficulties.  As for mental exercise, a ruler should read historical works, "
"Mach_107.txt.content","especially for the light they shed on the actions of eminent men: to find out how they waged war, to discover the reasons for their victories and defeats, in order to avoid reverses and achieve conquests; and above all, to imitate some eminent man, who himself set out to imitate some predecessor of his who was considered worthy of praise and glory, always taking his deeds and actions as a model for himself, as it is said that Alexander the Great imitated Achilles, Caesar imitated Alexander, and Scipio imitated Cyrus. And anyone who reads the life of Cyrus, written by Xenophon, will realise, when he considers Scipio's life and career, how greatly Scipio's imitation of Cyrus helped him to attain glory, and how much Scipio's sexual restraint, affability, humanity and generosity derived from his imitating the qualities of Cyrus, as recorded in this work by Xenophon. A wise ruler should act in such ways, and never remain idle in quiet times, but assiduously strengthen his position through such activities in order that in adversity he will benefit from them. Thus, when his situation worsens, he will be well equipped to overcome dangers and to flourish. "
