Song,Lyrics
Wanna Be Startin' Somethin',"
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
I Took My Baby To The Doctor.
With A Fever, But Nothing He Found.
By The Time This Hit The Street.
They Said She Had A Breakdown.
Someone's Always Tryin' To Start My Baby Cryin'.
Talkin', Squealin', Lyin'.
Sayin' You Just Wanna Be Startin' Somethin'.
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
You Love To Pretend That You're Good.
When You're Always Up To No Good.
You Really Can't Make Him Hate Her.
So Your Tongue Became A Razor.
Someone's Always Tryin' To Keep My Baby Cryin'.
Treacherous, Cunnin', Declinin'.
You Got My Baby Cryin'.
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
You're A Vegetable, You're A Vegetable.
Still They Hate You, You're A Vegetable.
You're Just A Buffet, You're A Vegetable.
They Eat Off Of You, You're A Vegetable.
Billie Jean Is Always Talkin'.
When Nobody Else Is Talkin'.
Tellin' Lies And Rubbin' Shoulders.
So They Called Her Mouth A Motor.
Someone's Always Tryin' To Start My Baby Cryin'.
Talkin', Squealin', Spyin'.
Sayin' You Just Wanna Be Startin' Somethin'.
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
You're A Vegetable, You're A Vegetable.
Still They Hate You, You're A Vegetable.
You're Just A Buffet, You're A Vegetable.
They Eat Off Of You, You're A Vegetable.
If You Cant Feed Your Baby Yeah, Yeah.
Then Don't Have A Baby Yeah, Yeah.
And Don't Think Maybe Yeah, Yeah.
If You Can't Feed Your Baby Yeah, Yeah.
You'll Be Always Tryin'.
To Stop That Child From Cryin'.
Hustlin', Stealin', Lyin'.
Now Baby's Slowly Dyin'.
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
I Said You Wanna Be Startin' Somethin'.
You Got To Be Startin' Somethin'.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
It's Too High To Get Over Yeah, Yeah.
Too Low To Get Under Yeah, Yeah.
You're Stuck In The Middle Yeah, Yeah.
And The Pain Is Thunder Yeah, Yeah.
Lift Your Head Up High.
And Scream Out To The World.
I Know I Am Someone.
And Let The Truth Unfurl.
No One Can Hurt You Now.
Because You Know What's True.
Yes, I Believe In Me.
So You Believe In You.
Help Me Sing It, Ma Ma Se,.
Ma Ma Sa, Ma Ma Coo Sa.
Ma Ma Se, Ma Ma Sa,.
Ma Ma Coo Sa.
"
Baby Be Mine,"I Don't Need No Dreams When I'm By Your Side.
Every Moment Takes Me To Paradise.
Darlin', Let Me Hold You.
Warm You In My Arms And Melt Your Fears Away.
Show You All The Magic That A Perfect Love Can.
Make.
I Need You Night And Day.
So Baby, Be Mine Baby You Gotta Be Mine.
And Girl I'll Give You All I Got To Give.
So Baby, Be My Girl All The Time.
And We Can Share This Ecstasy.
As Long As We Believe In Love.
I Won't Give You Reason To Change Your Mind.
I Guess It's Still You Thrill Me, Baby, Be Mine.
You Are All The Future That I Desire.
Girl, I Need To Hold You.
Share My Feelings In The Heat Of Love's Embrace.
Show You All The Passion Burning In My Heart.
Today.
It's Never Gonna Fade.
So Baby, Be Mine Baby You Gotta Be Mine.
And Girl I'll Give You All I Got To Give.
So Baby, Be My Girl All The Time.
You're Everything This World Could Be.
The Reason That I Live.
Won't You Stay With Me Until The Mornin' Sun.
I Promise You Now That The Dawn Will Be Different.
Lady Can't You See That Heaven's Just Begun.
It's Livin' Here Inside Our Hearts.
There'll Be No More Mountains For Us To Climb.
I Can't Be Still You Thrill Me, Baby, Be Mine.
This Will Be A Love Lasting For All Time.
Girl You Got To Hold Me.
We Can Touch The Sky And Light The Darkest Day.
Hold Me, Only You And I Can Make Sweet Love This Way.
There's No More I Can Say.
So Baby, Be Mine Baby You Gotta Be Mine.
And Girl I'll Give You All I Got To Give.
So Baby, Be My Girl All The Time.
You're Everything This World Could Be.
The Reason That I Live.
Baby Be My Girl.
And Girl I'll Give You All I Got To Give.
So Baby, Be Mine, Baby, Be Mine.
You're Everything This World Could Be To Me.
C'mon, Girl, C'mon Girl.
So Baby, Be Mine.
You're Everything This World Could Be To Me."
The Girl Is Mine,"
Every Night She Walks Right In My Dreams.
Since I Met Her From The Start.
I'm So Proud I Am The Only One.
Who Is Special In Her Heart.
The Girl Is Mine.
The Doggone Girl Is Mine.
I Know She's Mine.
Because The Doggone Girl Is Mine.
I Don't Understand The Way You Think.
Saying That She's Yours Not Mine.
Sending Roses And Your Silly Dreams.
Really Just A Waste Of Time.
Because She's Mine.
The Doggone Girl Is Mine.
Don't Waste Your Time.
Because The Doggone Girl Is Mine.
I Love You More Than He.
Take You Anywhere.
But I Love You Endlessly.
Loving We Will Share.
So Come And Go With Me.
To One Town.
But We Both Cannot Have Her.
So It's One Or The Other.
And One Day You'll Discover.
That She's My Girl Forever And Ever.
I Don't Build Your Hopes To Be Let Down.
'Cause I Really Feel It's Time.
I Know She'll Tell You I'm The One For Her.
'Cause She Said I Blow Her Mind.
Chorus Michael.
The Girl Is Mine.
The Doggone Girl Is Mine.
Don't Waste Your Time.
Because The Doggone Girl Is Mine.
She's Mine, She's Mine.
No, No, No, She's Mine.
The Girl Is Mine, The Girl Is Mine.
The Girl Is Mine, The Girl Is Mine.
The Girl Is Mine, Yep She's Mine.
The Girl Is Mine, Yep She's Mine.
Don't Waste Your Time.
Because The Doggone Girl Is Mine.
The Girl Is Mine, The Girl Is Mine.
Michael, We're Not Going To Fight About This, Okay.
Paul, I Think I Told You, I'm A Lover Not A Fighter.
I've Heard It All Before, Michael.
She Told Me That I'm Her Forever Lover, You Know, Don't You Remember.
Well, After Loving Me, She Said She Couldn't Love Another.
Is That What She Said.
Yes, She Said It, You Keep Dreaming.
I Don't Believe It.
The Girl Is Mine Mine, Mine, Mine.
"
Thriller,"It's close to midnight and something evil's lurking in the dark.
Under the moonlight you see a sight that almost stops your heart.
You try to scream but terror takes the sound before you make it.
You start to freeze as horror looks you right between the eyes,.
You're paralyzed.
'Cause this is thriller, thriller night.
And no one's gonna save you from the beast about to strike.
You know it's thriller, thriller night.
You're fighting for your life inside a killer, thriller tonight.
You hear the door slam and realize there's nowhere left to run.
You feel the cold hand and wonder if you'll ever see the sun.
You close your eyes and hope that this is just imagination.
But all the while you hear the creature creepin'up behind.
You're out of time.
'Cause this is thriller, thriller night.
There ain't no second chance against the thing with forty eyes.
You know it's thriller, thriller night.
You're fighting to survive inside a killer, thriller tonight.
Night creatures call.
And the dead start to walk in their masquerade.
There's no escapin' the jaws of the alien this time they're open wide.
This is the end of your life.
They're out to get you, there's demons closing in on every side.
They will possess you unless you change the number on your dial.
Now is the time for you and I to cuddle close together.
All thru the night I'll save you from the terrors on the screen,.
I'll make you see.
That it's a thriller, thriller night.
'Cause I can thrill you more than any ghost would dare to try.
Girl, this is thriller, thriller night.
So let me hold you tight and share a killer, diller, chiller.
Thriller here tonight.
Darkness falls across the land.
The midnite hour is close at hand.
Creatures crawl in search of blood.
To terrorize y'awl's neighbourhood.
And whosoever shall be found.
Without the soul for getting down.
Must stand and face the hounds of hell.
And rot inside a corpse's shell.
The foulest stench is in the air.
The funk of forty thousand years.
And grizzly ghouls from every tomb.
Are closing in to seal your doom.
And though you fight to stay alive.
Your body starts to shiver.
For no mere mortal can resist.
The evil of the thriller.
Can you dig it?!."
Beat It,"They told him, ""Don't you ever come around here..
Don't wanna see your face. You better disappear."".
The fire's in their eyes and their words are really clear.
So beat it, just beat it.
You better run, you better do what you can.
Don't wanna see no blood, don't be a macho man.
You wanna be tough, better do what you can.
So beat it, but you wanna be bad.
Just beat it, beat it, beat it, beat it.
No one wants to be defeated.
Showin' how funky strong is your fight.
It doesn't matter who's wrong or right.
Just beat it, beat it.
They're out to get you, better leave while you can.
Don't wanna be a boy, you wanna be a man.
You wanna stay alive, better do what you can.
So beat it, just beat it.
You have to show them that you're really not scared.
You're playin' with your life, this ain't no truth or dare.
They'll kick you, then they beat you, then they'll tell you it's fair.
So beat it, but you wanna be bad.
Just beat it, beat it, beat it, beat it.
No one wants to be defeated.
Showin' how funky strong is your fight.
It doesn't matter who's wrong or right.
Just beat it, beat it, beat it, beat it, beat it.
Beat it, beat it, beat it, beat it.
No one wants to be defeated.
Showin' how funky strong is your fight.
It doesn't matter who's wrong or right.
Just beat it, beat it, beat it, beat it.
No one wants to be defeated.
Showin' how funky strong is your fight.
It doesn't matter who's wrong or right.
Just beat it, beat it.
Beat it, beat it, beat it."
Billie Jean,"She was more like a beauty queen from a movie scene.
I said don't mind, but what do you mean I am the one.
Who will dance on the floor in the round.
She said I am the one who will dance on the floor in the round.
She told me her name was Billie Jean, as she caused a scene.
Then every head turned with eyes that dreamed of being the one.
Who will dance on the floor in the round.
People always told me be careful of what you do.
And don't go around breaking young girls' hearts.
And mother always told me be careful of who you love.
And be careful of what you do 'cause the lie becomes the truth.
Billie Jean is not my lover.
She's just a girl who claims that I am the one.
But the kid is not my son.
She says I am the one, but the kid is not my son.
For forty days and forty nights.
The law was on her side.
But who can stand when she's in demand.
Her schemes and plans.
'cause we danced on the floor in the round.
So take my strong advice, just remember to always think twice.
do think twice..
She told my baby we'd danced 'til three.
Then she looked at me.
She showed a photo of a baby crying.
His eyes looked like mine.
Go on dance on the floor in the round, baby.
People always told me be careful of what you do.
And don't go around breaking young girls' hearts.
She came and stood right by me.
Then the smell of sweet perfume.
This happened much too soon.
She called me to her room.
Billie Jean is not my lover.
She's just a girl who claims that I am the one.
But the kid is not my son.
Billie Jean is not my lover.
She's just a girl who claims that I am the one.
But the kid is not my son.
She says I am the one, but the kid is not my son.
She says I am the one, but the kid is not my son.
Billie Jean is not my lover.
She's just a girl who claims that I am the one.
But the kid is not my son.
She says I am the one, but the kid is not my son.
She says I am the one, she says he is my son.
She says I am the one.
Billie Jean is not my lover.
Billie Jean is not my lover.
Billie Jean is not my lover.
Billie Jean is not my lover.
Billie Jean is not my lover.
Billie Jean is not my lover."
Human Nature,"Looking Out.
Across The Night-Time.
The City Winks A Sleepless Eye.
Hear Her Voice.
Shake My Window.
Sweet Seducing Sighs.
Get Me Out.
Into The Night-Time.
Four Walls Won't Hold Me Tonight.
If This Town.
Is Just An Apple.
Then Let Me Take A Bite.
If They Say -.
Why, Why, Tell 'Em That Is Human Nature.
Why, Why, Does He Do Me That Way.
If They Say -.
Why, Why, Tell 'Em That Is Human Nature.
Why, Why, Does He Do Me That Way.
Reaching Out.
To Touch A Stranger.
Electric Eyes Are Ev'rywhere.
See That Girl.
She Knows I'm Watching.
She Likes The Way I Stare.
If They Say -.
Why, Why, Tell 'Em That Is Human Nature.
Why, Why, Does He Do Me That Way.
If They Say -.
Why, Why, Tell 'Em That Is Human Nature.
Why, Why, Does He Do Me That Way.
I Like Livin' This Way.
I Like Lovin' This Way.
Looking Out.
Across The Morning.
The City's Heart Begins To Beat.
Reaching Out.
I Touch Her Shoulder.
I'm Dreaming Of The Street.
If They Say -.
Why, Why, Tell 'Em That Is Human Nature.
Why, Why, Does He Do Me That Way.
If They Say -.
Why, Why, Tell 'Em That Is Human Nature.
Why, Why, Does He Do Me That Way.
I Like Livin' This Way."
PYT (Pretty Young Thing),"Where Did You Come From Lady.
And Ooh Won't You Take Me There.
Right Away Won't You Baby.
Tendoroni You've Got To Be.
Spark My Nature.
Sugar Fly With Me.
Don't You Know Now.
Is The Perfect Time.
We Can Make It Right.
Hit The City Lights.
Then Tonight Ease The Lovin' Pain.
Let Me Take You To The Max.
I Want To Love You PYT.
Pretty Young Thing.
You Need Some Lovin' Tender Loving Care.
Tender Lovin' Care.
And I'll Take You There.
I Want To Love You PYT.
Pretty Young Thing.
You Need Some Lovin' Tender Loving Care.
Tender Lovin' Care.
I'll Shake You There.
Anywhere You Wanna Go.
Nothin' Can Stop This Burnin'.
Desire To Be With You.
Gotta Get To You Baby.
Won't You Come, It's Emergency.
Cool My Fire Yearnin'.
Honey, Come Set Me Free.
Don't You Know Now Is The Perfect Time.
We Can Dim The Lights.
Just To Make It Right.
In The Night.
Hit The Lovin' Spot.
I'll Give You All That I've Got.
I Want To Love You PYT.
Pretty Young Thing.
You Need Some Lovin' Tender Loving Care.
Tender Lovin' Care.
And I'll Take You There.
I Want To Love You PYT.
Pretty Young Thing.
You Need Some Lovin' Tender Loving Care.
Tender Lovin' Care.
I'll Take You There.
Pretty Young Things, Repeat After Me.
[Michael] I Said Na Na Na.
[PYT'S] Na Na Na.
[Michael] Na Na Na Na.
[PYT'S] Na Na Na Na.
[Michael] Na Na Na.
[PYT'S] Na Na Na.
[Michael] I Said Na Na Na Na Na.
[PYT'S] Na Na Na Na Na.
[Michael] I'll Take You There.
I Want To Love You PYT.
Pretty Young Thing.
You Need Some Lovin' Tender Loving Care.
Tender Lovin' Care.
And I'll Take You There.
I Want To Love You PYT.
Pretty Young Thing.
You Need Some Lovin' Tender Loving Care.
Tender Lovin' Care.
I'll Take You There."
The Lady In My Life,"There'll be no darkness tonight.
Lady our love will shine Lighting the night.
Just put your trust in my heart and meet me in paradise Now is the time.
Girl, you're every wonder in this world to me.
A treasure time won't steal away.
So let me keep you warm.
Through the shadows of the night.
Let me touch you with my love.
I can make you feel so right.
Just come into my arms.
While the world goes spinnin' by.
In the glow of candlelight.
I will show you you're the lady in my life.
Don't need no fortune or fame.
I just want you close to me There's no mystery.
No time for castles in space.
Or livin' in make believe Don't you just see.
I'd trade it all for just a rainy day.
As long as I know you'll be there, girl.
So listen to my heart.
Lay your body close to mine.
Let me fill you with my dreams.
I can make you feel alright.
And baby through the years gonna love you more each day.
So I promise you tonight that you will always be the lady in my life.
Lay back in my tenderness.
Let's make this a night we won't forget.
Girl, I need you sweet caress, oh.
Reach out to a fantasy.
Two hearts in a beat of ecstasy.
Come to me, girl.
And I will keep you warm through the shadows of the night.
Let me touch you with my love.
I can make you feel so right.
And baby through the years even when we're old and gray.
I will love you more each day.
'Cause you will always be the lady in my life.
Stay with me, I want you to stay with me.
I need you by my side.
Don't you go no where.
Ooh girl let me keep you warm.
Let me keep you warm.
You are the lady in my life.
You're my lady.
Feel you with the sweetest love.
I wanna squeeze ya.
Always the lady in my life.
I wanna touch you baby.
Lay back in my tenderness.
You are the lady in my life doo doo doo.
Rock me with your sweet caress.
Always the lady in my life.
Your my lady and I love your girl.
Ooh girl let me keep you warm.
You are the lady in my life Don't you go nowhere.
Feel you with the sweetest love.
Always the lady in my life I love you I love you I need you I want you, baby.
Lay back in my tenderness Stay with me.
You are the lady in my life Don't you go no where.
Rock me with your sweet caress And I love you baby.
Always the lady in my life.
Woo, Ooh Baby.
Don't go no where.
You're my lady.
All through the night.
Ooh girl let me keep you warm I wanna give you all.
You are the lady in my life In my life.
Feel you with the sweetest love Let me be your baby.
Always the lady in my life All over all over all over.
Lay back in my tenderness Lay back with me.
You are the lady in my life Let me touch you girl.
Rock me with your sweet caress Lay back with me.
Always the lady in my life All over [x7] baby.
Ooh girl let me keep you warm.
You are the lady in my life Woo.
Fill you with the sweetest love.
Always the lady in my life You're my lady.
Lay back in my tenderness You're my lady, baby."
Carousel,"She's from a world.
Of popcorn and candy.
Pony rides for a dime.
Little children laughing.
I'm from a world.
Of disappointments and confusions.
But I want her to be mine.
I started talking.
She kept on walking.
She disappeared into the crowd.
I lost my heart.
On the carousel.
To a circus girl.
Who left my heart in pieces.
Lost my heart.
On The carousel.
To a circus girl.
Who ran away.
I was the clown.
And she was the dancer.
We both knew it wouldn't work.
But we took our chances.
What I can't recall.
Is if there was a girl at all.
Or was it my imagination?
I still remember.
All of those faces.
And now all I have is memories.
I lost my heart.
On the carousel.
To a circus girl.
Who left my heart in pieces.
Lost my heart.
On The carousel.
To a circus girl.
Who ran away.
Two different people.
In love for an instant.
To see that the circus came today.
Sometimes I can hear the calliope.
And I can hear her calling me.
Don't you know?
I lost my heart.
On the carousel.
To a circus girl.
Who left my heart in pieces.
Lost my heart.
On The carousel.
To a circus girl.
Who ran away.
"
